code,system
885021000006114,snomedct
885021000006114,snomedct
301036012,snomedct
255676015,snomedct
2DB6.00,snomedct
H031.00,snomedct
301036012,snomedct
255676015,snomedct
H031.00,snomedct
2DB6.00,snomedct
301043018,snomedct
H035100,snomedct
301043018,snomedct
H035100,snomedct
301235017,snomedct
H14y600,snomedct
301235017,snomedct
H14y600,snomedct
301040015,snomedct
H034.00,snomedct
301040015,snomedct
H034.00,snomedct
4577601000006110,snomedct
4577601000006110,snomedct
5147901000006110,snomedct
360178015,snomedct
A383000,snomedct
5147901000006110,snomedct
360178015,snomedct
A383000,snomedct
150766011,snomedct
301229017,snomedct
H143.00,snomedct
H140.00,snomedct
1136401000000110,snomedct
661841000000114,snomedct
14B7.00,snomedct
14B8.00,snomedct
661841000000114,snomedct
14B8.00,snomedct
14B7.00,snomedct
301046014,snomedct
H036.00,snomedct
301046014,snomedct
H036.00,snomedct
29982014,snomedct
301049019,snomedct
H03z.00,snomedct
H03..00,snomedct
301049019,snomedct
29982014,snomedct
H03z.00,snomedct
H03..00,snomedct
301035011,snomedct
H030.00,snomedct
301035011,snomedct
H030.00,snomedct
301042011,snomedct
H035000,snomedct
301042011,snomedct
H035000,snomedct
4780151000006110,snomedct
4780151000006110,snomedct
301038013,snomedct
H033.00,snomedct
301038013,snomedct
H033.00,snomedct
348206016,snomedct
5036081000006110,snomedct
AA1z.12,snomedct
5036081000006110,snomedct
348206016,snomedct
301047017,snomedct
853251000006117,snomedct
H037.00,snomedct
301047017,snomedct
853251000006117,snomedct
H037.00,snomedct
301044012,snomedct
301041016,snomedct
H035.00,snomedct
H035z00,snomedct
301041016,snomedct
301044012,snomedct
H035z00,snomedct
H035.00,snomedct
4780231000006110,snomedct
301037015,snomedct
H032.00,snomedct
301037015,snomedct
4780231000006110,snomedct
H032.00,snomedct
2781561000006110,snomedct
2781561000006110,snomedct
301234018,snomedct
H14y500,snomedct
301234018,snomedct
H14y500,snomedct
69365016,snomedct
A340300,snomedct
69365016,snomedct
A340300,snomedct
100111000006119,snomedct
H03..11,snomedct
100111000006119,snomedct
H03..11,snomedct
301803010,snomedct
Hyu0200,snomedct
301803010,snomedct
Hyu0200,snomedct